
   ID        First name     Second name Date of birth Perfomance
0  01       Ivan      Ivanov    09.10.2001     Excellent student
1  02     Peter       Petrov    05.04.2001     Satisfactory student
2  03  Sidr  Sidorov    04.01.2001     Good student
3  04      Helga     Smolanova    29.03.2001     Excellent student
4  05      Catherine   Andreeva    19.12.2001     Good student
   ID        First name     Second name Date of birth Perfomance
0  01        Ivan      Ivanov    09.10.2001     Excellent student
1  02    Peter       Petrov    05.04.2001     Satisfactory student
2  03  Sidr  Sidorov    04.01.2001     Good student
3  04      Helga     Smolanova    29.03.2001     Excellent student
4  05      Catherine   Andreeva    19.12.2001     Good student
   ID First Name Second Name Date of birth            Perfomance
0  01       Ivan      Ivanov    09.10.2001     Excellent student
1  02      Peter      Petrov    05.04.2001  Satisfactory student
2  03       Sidr     Sidorov    04.01.2001          Good student
3  04      Helga   Smolanova    29.03.2001     Excellent student
4  05  Catherine    Andreeva    19.12.2001          Good student
   ID First Name Second Name Date of birth            Perfomance
0  01       Ivan      Ivanov    09.10.2001     Excellent student
1  02      Peter      Petrov    05.04.2001  Satisfactory student
2  03       Sidr     Sidorov    04.01.2001          Good student
3  04      Helga   Smolanova    29.03.2001     Excellent student
4  05  Catherine    Andreeva    19.12.2001          Good student
   ID First Name Second Name Date of birth            Perfomance
0  01       Ivan      Ivanov    09.10.2001     Excellent student
1  02      Peter      Petrov    05.04.2001  Satisfactory student
2  03       Sidr     Sidorov    04.01.2001          Good student
3  04      Helga   Smolanova    29.03.2001     Excellent student
4  05  Catherine    Andreeva    19.12.2001          Good student
   ID First name Second name Date of birth            Perfomance
0  01       Ivan      Ivanov    09.10.2001     Excellent student
1  02      Peter      Petrov    05.04.2001  Satisfactory student
2  03       Sidr     Sidorov    04.01.2001          Good student
3  04      Helga   Smolanova    29.03.2001     Excellent student
4  05  Catherine    Andreeva    19.12.2001          Good student
